files,w.r.t prep_stmt.py,w.r.t amith1.py,w.r.t create_tables.py,w.r.t make_points_table.py,w.r.t hitman.py,w.r.t average_runs.py,w.r.t max_runs.py,w.r.t max_wickets.py,w.r.t python.py,w.r.t cplusplus.py,w.r.t insert.py
prep_stmt.py,100,54,21,19,47,53,54,55,21,21,42
amith1.py,54,100,31,30,71,65,79,80,31,33,58
create_tables.py,21,31,100,62,40,34,32,32,100,62,44
make_points_table.py,19,30,62,100,37,29,30,30,62,84,42
hitman.py,47,71,40,37,100,65,73,76,40,41,67
average_runs.py,53,65,34,29,65,100,68,67,34,31,65
max_runs.py,54,79,32,30,73,68,100,87,32,33,59
max_wickets.py,55,80,32,30,76,67,87,100,32,33,59
python.py,21,31,100,62,40,34,32,32,100,62,44
cplusplus.py,21,33,62,84,41,31,33,33,62,100,44
insert.py,42,58,44,42,67,65,59,59,44,44,100
